"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.751365542E0,1.491933519E-2,-5.010314640E-3,1.187627971E-2,1.971638494E-2
1.761417542E0,2.403536823E-2,8.107858859E-3,3.045814633E-3,2.554825411E-2
1.771470542E0,1.622610452E-2,-1.278287223E-2,1.906367719E-2,2.810893236E-2
1.781523542E0,1.391491716E-2,-3.206850607E-3,9.184221625E-3,1.697818416E-2
1.791576542E0,1.150315084E-2,-4.036515690E-3,7.833514810E-3,1.449068295E-2
1.801629542E0,-5.843561714E-3,1.200860951E-2,1.816612959E-2,2.254688848E-2
1.811682542E0,1.491310082E-3,1.568957794E-2,3.119021773E-2,3.494590883E-2
1.821735542E0,1.293150571E-3,-3.998399153E-4,3.163577557E-2,3.166471863E-2
1.831788542E0,-2.463633409E-2,5.790790021E-3,3.283211589E-2,4.145395084E-2
1.841841542E0,-1.281757751E-2,3.887831960E-3,1.980861247E-2,2.391206094E-2
1.851894542E0,-7.567689194E-3,1.118837306E-2,2.354907632E-2,2.714790244E-2
1.861947542E0,-7.921981355E-3,1.342115063E-2,2.983600259E-2,3.366113669E-2
1.872000542E0,-7.959265349E-3,2.890918236E-3,1.591144323E-2,1.802446501E-2
1.882053542E0,-2.499720323E-2,-3.899014760E-3,3.485525250E-3,2.553842931E-2
1.892105542E0,-8.796216612E-3,1.441336831E-2,1.156813145E-2,2.046803063E-2
1.902158542E0,-1.160663742E-4,3.721113224E-3,6.926026940E-3,7.863205721E-3
1.912211542E0,-3.315448933E-3,-5.759141967E-4,2.159727573E-2,2.185786353E-2
1.922264542E0,1.043303957E-2,-2.749214619E-3,2.998101354E-2,3.186326519E-2
1.932317542E0,1.288949940E-2,-8.688304648E-3,2.653758824E-2,3.075499020E-2
1.942370542E0,1.663900588E-3,-3.284764756E-3,8.427591920E-3,9.196877200E-3
1.952423542E0,1.097055286E-2,-4.160293937E-3,1.381580114E-2,1.812560170E-2
1.962476542E0,4.284688025E-3,9.056606144E-4,2.624054968E-2,2.660348136E-2
1.972529542E0,1.343720421E-3,-1.263345759E-3,2.459280431E-2,2.466186633E-2
1.982582542E0,6.410115226E-3,5.655591432E-3,2.130140662E-2,2.295267339E-2
1.992635542E0,8.071993272E-3,5.596772097E-3,6.184015274E-3,1.160702280E-2
2.002688542E0,-2.038106687E-3,1.503646223E-2,2.100261390E-2,2.591059370E-2
2.012741542E0,-7.176925025E-3,2.560641915E-3,1.636343300E-2,1.805068086E-2
2.022794542E0,-1.430110405E-2,6.578044519E-3,1.636343300E-2,2.270581834E-2
2.032846542E0,-1.339789767E-2,1.217845285E-2,1.995771646E-2,2.694677759E-2
2.042899542E0,1.158937557E-2,1.100208443E-3,1.995537758E-2,2.310283920E-2
2.052952542E0,7.759019912E-3,-3.600660581E-3,2.190191567E-2,2.351299761E-2
2.063005542E0,4.442894323E-3,1.037053032E-2,3.403079510E-2,3.585222760E-2
2.073058542E0,-6.961490532E-3,-8.538506292E-3,2.280472577E-2,2.532634907E-2
2.083111542E0,-4.857170123E-3,-1.785703115E-2,2.774503827E-2,3.335045445E-2
2.093164542E0,1.536938579E-2,-1.628897237E-2,3.253390789E-2,3.949688346E-2
2.103217542E0,-3.912122459E-3,1.223200969E-3,3.148667157E-2,3.175234494E-2
2.113270542E0,7.737794062E-3,-6.241939254E-3,2.385430098E-2,2.584304428E-2
2.123323542E0,2.768120426E-3,-1.207886746E-2,1.831815720E-2,2.211597642E-2
2.133376542E0,-4.689892647E-3,2.126138974E-3,9.187729955E-3,1.053232841E-2
2.143429542E0,-4.406259576E-4,-2.673639357E-4,1.098399460E-2,1.099607985E-2
2.153482542E0,-1.368945675E-3,-5.670246016E-3,2.235799849E-2,2.310640168E-2
2.163534542E0,-5.124930345E-3,4.559804946E-3,1.247795820E-2,1.423924763E-2
2.173587542E0,-2.222965667E-2,1.691307127E-2,2.070908368E-2,3.477176674E-2
2.183640542E0,-7.718242435E-3,2.784725491E-2,3.552826703E-2,4.579627310E-2
2.193693542E0,1.718350043E-2,1.573734239E-2,2.340348065E-2,3.302513496E-2
2.203746542E0,-1.926449250E-2,4.380478151E-4,1.486946940E-2,2.433954966E-2
